,name,grape_variety,description
99,"Puligny-Montrachet 2017 Alain Chavy, Burgundy",Chardonnay,"Wine Advocate's Neal Martin said ''Alain Chavy has gone about making fine white Burgundy in recent years''. On the fringe of the Puligny village, in Burgundy's finest commune, it's aged this creamy white in its coldest underground cellar. This encourages slow ripening of flavour, and you'll taste the fruits of patience in a vibrant palate of apple, lemon pastry and toasty oak."
100,Cave des Vignerons de Buxy 'Les Millières' Montagny 1er Cru 2019,Chardonnay,"Deep in the Côte Chalonnaise, Montagny is an appellation with a difference. It dedicates itself entirely to the production of white wine – all Chardonnay. Two thirds of the vineyards have the prestigious Premier Cru classification – an extremely high proportion of high-quality vineyards. ‘Les Milliers’ is one of these Premier Crus, made by Caves de Buxy. They’re a name to note, known as an excellent, quality-conscious producer – and because they’re a cooperative with access to grapes from a variety of top-notch growers, it’s excellent value for money. It’s fermented and matured in stainless steel tanks to preserve the really pure, ripe fruit flavours. Peach. Pear. Honey. It’s a really delicious glassful, with a nicely rich texture that’s still fresh. Perfect with cold ham."
101,Cave de Lugny 'Les Pierres Blanches' Mâcon-Villages Blanc 2019,Chardonnay,"This is proof that ‘classic’ doesn’t have to mean boring or expensive. Cave de Lugny are a true specialist – they’re the biggest white Burgundy producer in the world, but they don’t rest on their laurels. Their mission is to make standout white Burgundy which is approachable, affordable – and delicious. Extraordinarily for the price, it’s made using grapes from thirty-year-old vines. Their age intensifies the flavours in the grapes – and they dial up this fruitiness by leaving it unoaked. It’s rested on its lees – spent yeast particles – which gives the texture a creaminess, and makes it even more aromatic. It’s fruity, juicy and refreshing – think citrus, green melon and a touch of honey, with a really lip-smacking finish. Alongside a chicken salad, it’ll please everyone."
102,Pouilly-Fuissé 2019 Domaine Cordier,Chardonnay,"From the Domaine Cordier estate with vines grown in Fuissé village and Vergisson, yields of 40 hectolitres per hectare and 15% new oak this is a modern, sumptuous interpretation of the full-bodied style of Pouilly Fuissé. Very forward with ripe tropical peach and a rich (but not over-powering) use of toasty oak make this a wonderfully full style of Fuissé. Length on the finish is long and harmonious. Slightly more upfront oak and fruit than some of Cordier's other wines, a creamy dish like stroganoff would complement a wine like this."
103,Chablis Elodie Duprés 2019,Chardonnay,"A series of difficult harvests have made it a real challenge to find Chablis which is everyday-affordable. Luckily, our buyers have the contacts and the know-how to bring you Chablis which is both great quality and great value. And this really is everything you could possibly want from a Chablis. White peaches. Lemon zest. Green apple. Taking a sip is like taking a bite of a Granny Smith. It’s intensely refreshing – so crisp and citrussy that you can’t help going back for a second glass. It’s the very best of unoaked Chardonnay, a real French classic. Nicely light and fresh, this would make a fantastic party wine. It’s also delicious with crispy, cheesy nibbles like gougères. That’s your canapés sorted."
104,Viré-Clessé Vieilles Vignes 2019 Christophe Cordier,Chardonnay,"Cordier's Viré-Clessé is made from 40-year-old vines from village of Viré, with grapes bought in from a mixture of winegrowers, some of which practise biodynamic viticulture. Using 300lt barrels, 10% of which are new, the lees are also stirred for added body. Elegant yet opulent, this wine combines fresh fruit on the palate with a minerally core, with added dimension provide by a slight toastiness. Langoustines, lobster and prawn dishes will match well with this wine, as will most fowl recipes."
105,Pouilly-Fumé 2018 Jean Vincent,Sauvignon Blanc,"Father-and-son team Jean and Vincent Chatelain are the 11th and 12th generations of an illustrious winemaking family, based in the heart of Pouilly-sur-Loire. Each parcel of their 30ha estate is vinified individually to maintain the character of each plot. An intensely aromatic wine, with a nose that centres on gooseberry fruit, enhanced by a smoky, flinty character. This mineral theme continues all the way to the long, steely finish. A mouthwatering, dry aperitif wine, also ideal with fresh shellfish dishes."
106,Le Volte dell' Ornellaia 2018,Cabernet Sauvignon,"Ornellaia is an estate in demand. Their first wine is one of the most sought-after in Italy. ‘Le Volte’ is your chance to taste their expertise at a lower price, and it favours the adventurous. Here, Sangiovese is combined with Merlot and Cabernet Sauvignon. It's an exciting twist on the Super Tuscan blend. Aged for over 10 months in oak, it has great structure, fresh notes of red fruits and a balancing acidity that are sublime with venison."
107,Pouilly-Fumé 2018 de Ladoucette,Sauvignon Blanc,"Father-and-son team Jean and Vincent Chatelain are the 11th and 12th generations of an illustrious Loire wine making family. In fact, the family has been making Loire wines since 1630! This unrivalled level of expertise is translated into this beautiful Sauvignon Blanc that's intense, mineral and concentrated with white-fruit, gooseberry and flint flavours."
108,Pouilly-Fumé 'Les Griottes' 2019 Jean-Pierre Bailly,Sauvignon Blanc,"Grapes from up to 40 year old vines planted on the argilo limestone and kimmeridgian clay, more commonly associated with the Chablis region, imbues the wine with Pouilly-Fumé's classic richness, smokiness and complexity. Rich and smoky on the nose, with subtle limes, white florals and honeysuckle atop a palate of fresh, clean and vibrant acidity, citrus fruit flint, minerality and green peppers. A long and layered finish. Enjoy over the next three years with asparagus in hollandaise, Caesar salad or shellfish."
109,La Belle Angele Sauvignon Blanc 2019,Sauvignon Blanc,"You’d be forgiven for overlooking Vins de Pays. In French wine, all the focus is given to AOCs – controlled areas or ‘appellations’ where the type, style and quality of wine is rigorously controlled. It means AOC wines command the highest prices – and Vins de Pays or ‘IGP’ wines are often the leftovers. But that’s not true everywhere. Certain areas like Gascony and the Aude have built their reputation on the exceptional quality of their Vins de Pays – and this wine is a blend of Sauvignon Blanc from both areas. It’s a demonstration of everything that’s great about French Sauvignon. Crisp and refreshing, bursting with flavours of citrus, apple and gooseberry. And because it’s Vins de Pays, it’s a real steal. Delicious with any tangy, dairy-based dishes."
110,Domaine de la Metairie DAlon Chardonnay Le Village 2016,Chardonnay,"This is a fabulous Chardonnay from a small property that makes its wine with as much care as top Burgundies. Barrel fermentation results in complex flavours of lemon, freshly baked pastry and hazelnut."
111,"Rustenberg 'Five Solders' Chardonnay 2017, Stellenbosch",Chardonnay,"This complex, long, creamy Chardonnay is made by Murray Barlow. He's the only person to win Diners Club's Young Winemaker of the Year award twice. And we expect that there's plenty more awards to come for him. This has flavours of citrus, melon, peach and oak. Serve lightly chilled and pair with buttery chicken."
112,"Veuve Clicquot Brut, Champagne",Chardonnay,"1800s France wasn’t very female-friendly. Women weren’t even allowed to have bank accounts – making even more extraordinary that twenty-something Madame Clicquot not only kept her late husband’s business, but turned it into the must-have Champagne of the Russian court. The key to her success? Riddling. She invented A-frame racks to hold bottles at an angle. Rotated slowly for eight weeks, they let the sediment settle in the neck of the bottle, meaning the Champagne was clearer, higher quality, and less likely to explode in transit. It was revolutionary. Today, the Clicquot name is still synonymous with excellence. This Brut NV is aged for twice the time legally required, giving it a really biscuity, toasty flavour. Rich. Ripe. Citrussy. It’s fresh but decadent. Perfect with canapés."
113,"Devaux 'Augusta' Brut, Champagne",Pinot Noir,"The Augusta is made by the same house that bought you Oeil de Perdrix. This Pinot Noir-dominated Champagne is complex and powerful, with flavours of brioche, yellow plum and apricot. It's a full-flavoured fizz that really is excellent value for money. Drink with fish and chips."
114,Veuve Clicquot Champagne Magnum,Chardonnay,"In 19th century France, women weren’t even allowed to have bank accounts. So it's extraordinary that twenty-something Madame Clicquot turned her late husband’s business into the must-have Champagne of the Russian court. It really shows in every drop of this magnum. It's a superb marriage of freshness and power, with rich fruit flavours and a mouthfilling mousse that lingers delightfully. Pair with mature cheeses."
115,Veuve Clicquot Demi-Sec Champagne,Chardonnay,"Demi-Sec is a style of Champagne that's a bit sweeter than usual. And Veuve Clicquot haven't neglected any of the flavour. First produced for the Russian court in the 19th century, this Champagne shows rich, candied fruits, toast and baked bread. It has a creamy mousse, a decadent palate and ends in a deliciously fresh finish. It's a perfect dessert wine, so serve it with peach pudding."
116,Taittinger Comtes de Champagne 2007 Champagne,Chardonnay,"Produced exclusively from top quality Chardonnay grapes grown in 'Grand Cru' rated vineyards. One of the greatest Blanc de Blancs champagnes, Comtes was first produced in 1952. A Champagne with the potential to age for decades and reward the more patient hedonist."
117,Heidsieck and Co. Monopole 'Bronze Top' Brut Champagne,Pinot Noir,"Heidsieck & Co. Monopole is one of Champagne's oldest houses and has long been a favourite of the famous and royal. It was a particular favourite of the Russian Tsar Nicholas II, who used to have two whole trains filled with the Champagne delivered to him each year. The Bronze Top continues this heritage of excellence. Expect a fine stream of bubbles, with citrus and brioche flavours. Divine with oysters."
118,Louis Roederer 2013 Champagne,Pinot Noir,"Louis Roederer's 2013 vintage was one of the best on record. After a cool, late spring, the summer months truly dazzled, filling grapes with delicious juice. It was a no-brainer for them to make their signature vintage Champagne that year. It's a blend of Pinot Noir and Chardonnay, showing all of the elegant notes of citrus, flowers, pears and spice."
119,Nicolas Feuillatte 2010 Champagne,Chardonnay,"Nicolas Feuillatte was a man about town. He made a fortune in instant coffee and was a fixture of the New York jet set – celebrity connections which made his Champagne instantly popular. Today, Nicolas Feuillatte is far and away the most popular Champagne label in France – and the third most popular globally. That Jackie Kennedy and Lauren Bacall used to drink it in Nicolas’ plush Fifth Avenue apartment did nothing to hurt its popularity. Nor that it’s delicious and incredibly well-made. And it’s one of kind in Champagne – the only co-operative in the region, a collective of nearly 5000 growers. This vintage 2010 is a real cut above. It’s incredibly rich and briochey, ripely fruity with flavours of apricot, yellow fruit and raspberry. Delicious with aged comté – or fish and chips."
120,Graham Beck Brut Rosé NV,Chardonnay,"It's made with the same laborious method as Champagne. But because it's from South Africa, you pay a fraction of the price. Decanter called it ""great value"". You'll see why in its elegant creamy red-fruit aromas, rich mousse and brioche-laden finish."
121,Louis Roederer Quartet NV California,Chardonnay,"From Champagne house Louis Roederer's excellent Californian operation in the Anderson Valley. Reserve vintage wines are added to the Quartet, making it a multi-vintage cuvée in the traditional Roederer style. Crisp and elegant with complex pear, spice and hazelnut flavours. Fresh and lightly fruity with great finesse and depth of flavour. A brilliant apéritif, or try alongside lobster."
122,"Waimea Estates Sauvignon Blanc 2019, Nelson",Sauvignon Blanc,"As a child, winemaker Hamish would sit on an upturned bucket in his grandpa’s garden shed, watching him record all his winemaking notes in a set of cherished, tattered notebooks. With that background, there was only one profession Hamish could pursue. He landed at Waimea, on the edge of the Tasman Sea – a place regularly credited with being New Zealand’s sunniest spot. It’s the perfect place to grow Sauvignon Blanc. Sheltered. Coastal. Sunny. There couldn’t be more ideal conditions to draw all those tropical, fruity flavours out of the grapes. The result is a vibrantly fruity Kiwi Sauvingon, crisply zingy – really mouth-watering. There’s nothing better with yoghurt-marinated chicken or seafood."
123,"Villa Maria 'Private Bin' Sauvignon Blanc 2020, Marlborough",Sauvignon Blanc,"Villa Maria is the most awarded winery in New Zealand. They craft benchmark Sauvignons and people recognise their name the world-over. But like another world-renowned brand we could mention, Villa Maria actually started life in a garage. To be precise: in George Fistonich’s garage in Mangere, an Auckland suburb. Sir George – and his winery – have come an awfully long way since then. The Private Bin range is the only introduction you need to Kiwi Sauvignon. It’s all about the fruit. Lip-smacking, tropical, zesty fruit. The glass bursts with gooseberries, lemongrass and lime. Villa Maria say they made this as the perfect aperitif, but we think it’s rather fine with a dressed crab salad. Mix and match – do both."
124,Oyster Bay Chardonnay 2019 Marlborough,Chardonnay,"Oyster Bay is Marlborough's, if not New Zealand's, most iconic producer. But it's not just a star with Sauvignon Blanc. Part oak-aged, its elegant Chardonnay is brilliant value and bursting creamy lemon and peach flavours."
125,The Ned Noble Sauvignon Blanc 2018 Half Bottle,Sauvignon Blanc,"Botrytised grapes have been specially selected from amongst the vines of the Waihopai River vineyard to make this wine. The fermentation process takes a lengthy six months and extracts huge flavours from the shrivelled berries. Intensely sweet, yet balanced with a mixture of crisp citrus and fresh melon flavours, and as such, never cloys. Lingers long on the palate. An amazing match for gorgonzola or rich pâtés."
126,Alamos Lujan De Cuyo Cabernet 2019,Cabernet Sauvignon,"The grapes for Alamos are grown at an altitude of between 3,000 and 5,000 feet where the temperature variation allows the grapes to grow slowly developing more flavour. Hand harvesting and sorting ensure only the best grapes are used to make the wine. There is lots of blackcurrant and bramble fruit flavours in the concentrated and silky wine. The purity of fruit is enhanced by a slight woody note on the finish. This will be great with grilled meats flavoured with herbs."
127,"Goldwater Marlborough Sauvignon Blanc 2020, Wairau Valley",Sauvignon Blanc,"Goldwater is one of the oldest wineries in New Zealand, founded back in 1978. But that’s not all that makes them pioneers. It started out on remote Waiheke Island, just off Auckland. But in the early 1990s they headed south to what is now Sauvignon heartland, Wairau Valley. Since then, Goldwater has become a byword for top-drawer, seriously aromatic Sauvignon Blanc. With Alastair Maling MW, one of the most awarded winemakers in New Zealand, at the helm, it could never be anything less. Alastair leaves the wine on its skins for a short period which helps to amp up its aromatics. Think passionfruit, gooseberry and elderflower. It’s a real riot of intense tropical flavours. But it’s also intensely fresh – a deliciously crisp glassful, absolutely made for grilled fish with spicy mango salsa."
128,Cloudy Bay Pinot Noir 2018 Marlborough,Pinot Noir,"Cloudy Bay crafts some of New Zealand's finest wine. The cool-climate Marlborough is almost too generous to the demanding Pinot Noir grape. Here, the trailblazing winery has created this silk-smooth 92 Parker Point 2017 vintage that's loaded with raspberry, strawberry and cola. A deliciously sweet hint of spice lingers on the finish."
129,"Escarpment Pinot Noir 2017, Martinborough",Pinot Noir,"Larry McKenna has been celebrated in the New Zealand Wine Hall of Fame and is a Fellow of New Zealand Wine Growers. He's a specialist in Pinot Noir and is even known affectionately as Larry McPinot by fans of his fantastic reds. Taste what all the fuss is about in this perfumed, delicate wine, with elegantly textured tannins and supple red and black fruits. It will cellar for up to 10 years but also go well now with crispy pork belly."
130,"Catena Alta Chardonnay 2018, Mendoza",Chardonnay,"Catena Zapata won Drinks International Magazine's 'World's Most Admired Wine Brand 2020'. Their expertise is in high-altitude winemaking. And this is made on vineyards towering up to 4,757 metres above sea level. Chardonnay grapes benefit from a long ripening period at this height. So this is understandably delicious. It has notes of pear, peach, citrus and jasmine. Serve this lightly chilled with sushi."
131,Ten Minutes By Tractor Estate Chardonnay 2015 Mornington Peninsula,Chardonnay,"Mornington Peninsula is a sub-region of Victoria which, in recent years, has been identified as arguably the best area in Australia for cultivating the classic Burgundian varieties. From the estate's Main Ridge vineyard, this Chardonnay is whole-bunch pressed and fermented with wild yeasts in French oak barriques."
132,Au Bon Climat Pinot Noir 'Isabelle' 2016 California,Pinot Noir,"Rather than making this wine from a single vineyard's grapes as one might expect from Au Bon Climat, Isabelle is created by blending selected barrels from several sites, including Bien Nacido, Sanford & Benedict, Talley Rincon and Mount Carmel. A superbly structured, deep, complex and involving Pinot, and a great benchmarker of the vintage. An expressive floral nose leads into a palate of ripe dark cherries, plums, baking spices and french oak with a lengthy fruit driven finish. There is real power, precision and elegance here. Delicious and layered enough to enjoy on its own, this would also be a fine pairing for lighter meat dishes or game."
133,Klein Constantia Sauvignon Blanc 2019 Constantia,Sauvignon Blanc,"Klein Constantia dates back to 1685. It without a doubt produces some of South Africa's finest wines. It has a rich history and was even referenced in novels by Charles Darwin and Jane Austen. In the cool-climate foothills of the Constantiaberg mountain, Sauvignon Blanc grapes thrive. You can really taste the benefits in this complex, textured wine. Expect notes of citrus and stone fruits that are best with grilled seafood."
134,"Boekenhoutskloof Cabernet Sauvignon 2017, Stellenbosch",Cabernet Sauvignon,"Boekenhoutskloof and winemaker Marc Kent are behind one of our classic fine wines, The Chocolate Block. And they've smashed the target again with this Cabernet Sauvignon. This is a smooth, textured wine, with notes of black fruit, graphite, sweet spice and cocoa. Decant for an hour and serve at room temperature with meatballs."
135,Montes Single Vineyard Chardonnay 2018,Chardonnay,"The grapes use to produce this wine come from the cool climate Casablanca Valley which produces low yields of exceptionally healthy grapes with an abundance of fruit flavours. Malolactic fermentation adds and oak ageing adds buttery complexity. Fresh citrus flavours are augmented by a hint of asparagus typical of the Casablanca Valley are layered over toast, butter and vanilla notes. This will be a fine accompaniment for a roast chicken."
136,"Majestic Loves Sauvignon 2020, Chile",Sauvignon Blanc,"If you like your Sauvignon fruitier than the French stuff and crisper than Kiwi, opt for Chile. This is light, refreshing and alive with zesty notes of green apple and citrus."
137,Montes Single Vineyard Chardonnay 2018,Chardonnay,"The grapes use to produce this wine come from the cool climate Casablanca Valley which produces low yields of exceptionally healthy grapes with an abundance of fruit flavours. Malolactic fermentation adds and oak ageing adds buttery complexity. Fresh citrus flavours are augmented by a hint of asparagus typical of the Casablanca Valley are layered over toast, butter and vanilla notes. This will be a fine accompaniment for a roast chicken."
138,"Majestic Loves Sauvignon 2020, Chile",Sauvignon Blanc,"If you like your Sauvignon fruitier than the French stuff and crisper than Kiwi, opt for Chile. This is light, refreshing and alive with zesty notes of green apple and citrus."
139,"Domaine Rolet Arbois Chardonnay 2016, Jura",Chardonnay,"Arbois is the most important region in Jura. In the foothills of the Alps, the harsh winters may put off many winemakers, but not Domaine Rolet. This estate handpicks its grapes from 30-year-old vines and ages this Chardonnay in oak. Expect notes of rich citrus, white flowers and a hint of oak influence in the supple texture and delicate nuttiness."
140,"Cuvée Pierre Brun 2018 Domaine des Tourelles, Lebanon",Cabernet Sauvignon,"When it comes to Lebanese wines it's not only Château Musar that's worth collecting. Founded in 1868, Tourelles is Lebanon's oldest winery. It's now run by Faouzi Issa, who earned his stripes working in Côte Rôtie and at iconic Château Margaux. This experience is reaping rewards. A blend of Cabernet, Syrah, Cinsault and Carignan, this has fine aromatic morello cherry and spice aromas, a dark fruit core with layered earthy spice, and balanced tannins."
141,"Devil's Creek 'Gold Reserve' Pinot Noir 2019, Central Otago",Pinot Noir,"The Devil's Creek River used to be known for its gold. The precious metal has long dried up, but you can still discover delicious Pinot Noir in Central Otago. It's known as the home of New Zealand's finest Pinot Noir, and for good reason. This is bright, lively and bursting with fruit. The elegant tannins make it a great pairing for pork."
142,"Puligny-Montrachet 1er Cru 'Les Champs Gains' 2017 Domaine Alain Chavy, Burgundy",Chardonnay,"''The 2014 Puligny Montrachet 1er Cru Champ Gains comes from two parcels on shallow 20-centimeter stony soil. It is tighter on the nose than the Puligny-Charmes when I tasted it from barrel and I suspect it will require longer bottle age. The palate is elegant on the entry, that leitmotif of bitter lemon coming through, good density with a brisk finish that will hopefully develop more persistency as it matures in bottle. There is elegance here, but it will need time to show.'' Neal Martin - The Wine Advocate"
143,"Devil's Creek 'Gold Reserve' Sauvignon Blanc 2020, Marlborough",Sauvignon Blanc,"Since we introduced it to the UK, Devil’s Creek Sauvignon Blanc has become a firm customer favourite. Now, if you can believe it, we’ve gone one better. Winemaker Michele Pedron is a Sauvignon specialist. He’s worked in top Sauvignon regions around the world – from Sancerre, to Chile’s Maule Valley. With this Gold Reserve Michele’s drawing out the subtle, often over-looked differences between Marlborough’s sub-regions. This is from Wairau, where the wines are richer and fruiter. No wonder this wine is so tropical and full bodied, bursting with gooseberry, guava and elderflower flavours. Crisp and refreshing – it’s a fantastic wine for sharing over some Thai food."
144,Bread and Butter Pinot Noir 2019,Pinot Noir,"Bread & Butter is that thing that you can count on. It’s dependable, comforting – you know what to expect. That’s exactly what you’ll get with this wine, a textbook Californian Pinot Noir from the same winery which brought you the sell-out Bread & Butter Chardonnay. Their vineyards are ideally located for classic varieties like Pinot. It’s sun-drenched, but cooled by the daily morning mists which roll in off the Pacific. It’s exactly the sort of position that pernickety Pinot thrives in. This deliciously silky wine proves our point. It’s all about red fruit. Cherries. Raspberries. Cranberries. It’s seriously juicy and seriously delicious, with a nice fullness which is classic California. Oak ageing gives it a touch of cedary spice, and woody herb notes. Perfect with roast mushrooms."
145,"Eight Thousand Lakes Sauvignon Blanc 2018, Washington State",Sauvignon Blanc,"The vines behind this revitalising Sauvignon Blanc are protected from rain by the foothills of the Cascade mountain range. This means a long ripening season - and, as a result, plenty of flavour. This is a remarkably fresh wine, with notes of citrus, white peach and nettle. Partner with baked camembert."
146,"Q Cabernet Sauvignon, Alexander Valley",Cabernet Sauvignon,"Fed up of astronomical Napa Valley Cabernet Sauvignon prices? Head to Alexander Valley. It's one of the most important regions for the grape in America. Aged in French oak for 12 months, packed with intense hints of cassis, summer-pudding fruit, cedar and roasted demerara sugar, Q Cabernet is a prime example of this star-studded spot."
147,"Yalumba Cigar Cabernet Sauvignon 2016, Coonawarra",Cabernet Sauvignon,Yalumba The Cigar Coonawarra Cabernet Australia has a full nose with savoury blackcurrant fruit and on the palate there are layers of plum and cherry fruit and a lengthy savoury textured finish. The palate surprises as it is not the brute the nose suggests. It is a medium bodied wine with deep fruit flavours of dark cherries and blackberries. The tannins are silky smooth and act in harmony with the fruit for a lingering finish.
148,Yellow Tail Chardonnay 2020,Chardonnay,Expect a lush palate of peach and citrus delivered through a creamy mouthfeel that's polished with a dusting of vanilla and spice. It's the perfect partner for a comforting roast chicken dinner.
149,Three Vintners Cabernet Sauvignon 2018,Cabernet Sauvignon,"Three Vintners is a celebration of three generations of family winemakers, boasting the best of the secret that's been passed from grandfather to father to son. It's luscious, bold and chock-full of black fruits, mocha and sweet spice."
150,"Te Mata Estate 'Cape Crest' Sauvignon Blanc 2018, Hawke's Bay",Sauvignon Blanc,"This Sauvignon Blanc, Semillion and Sauvingon Gris blend is left in contact with its skins, fermented in oak barrels and stirred on its lees for 9 months. All this effort creates a Graves-style Sauvignon Blanc that's as textured and rich as they come while maintaining a refreshing finish. Expect complex hints of goosberry, grapefruit, oak and mango from this celebrated white."
151,"Emma Marris Sauvignon Blanc 2019, Marlborough",Sauvignon Blanc,"Emma Marris is the daughter of Brent Marris, the man behind our best-selling Sauvignon Blanc, The Ned. But she's carving her own path as a winemaker. After spending her life surrounded by wine, she applies university-trained, ground breaking techniques to this, a Marlborough Sauvignon with a difference. Expect bold, inviting notes of green apple, papaya, lime and lemongrass. Enjoy with a green salad."
152,Rustenberg Stellenbosch Cabernet Sauvignon 2019,Cabernet Sauvignon,"Murray Barlow is one of South Africa's most exciting young winemakers and has won Diners Club's Young Winemaker of the Year title an unrivalled twice. He's shown why once again in this well-structured Cabernet. Expect dark berries, tobacco and a lengthy finish."
153,"Casillero del Diablo Cabernet Sauvignon 2018, Chile",Cabernet Sauvignon,"More than 100 years ago, a winemaker was losing barrels of wine. He couldn’t catch the thieves – so instead, he put about a story that the Devil lived in his cellars. The story quickly became legend – many people claimed to have seen the Devil with their own eyes – and the winemaker was satisfied. No thieves dared to enter the ‘Casillero del Diablo’, so they never touched his wines again. But the story hasn’t deterred British drinkers – this Cabernet is a national favourite. It’s quintessentially Chilean, big, bold and fruity. It’s packed with flavours of cherries and plums, with a hint of vanilla spice. Silky textured, it’s a fantastic option with roasted red meats."
154,"Stonier Pinot Noir 2018, Mornington Peninsula",Pinot Noir,Mornington Peninsula has long been Australia's best spot for top-shelf Pinot Noir - and it's tough to secure the best for less than £25. Not now! Taste the cool-climate excellence in structured notes of red fruits and spice and a luscious finish.
155,Domaine de la Pinte Crémant du Jura,Chardonnay,"An hour's drive from Burgundy is Jura, a picturesque region with a continental climate. Here, Domaine de la Pinte hand-picks Chardonnay and Savagnin (not to be confused with Sauvignon) grapes from organic vines to make this balanced, complex Crémant. Adding no sugar at the disgorgement stage means the fruit reigns supreme."
156,"Te Mata Estate 'Awatea' Cabernets/Merlot 2017, Hawke's Bay",Cabernet Sauvignon,"First made in 1982, the Awatea is still the benchmark for great-value Hawke's Bay Cabernet/Merlot blends. Its intense hints of red and black fruit, plum and espresso, all chased by a heady finish and framed by fine tannins, scored 92 Wine Enthusiast points."
157,"Bouvet Saphir Saumur 2018, Loire Valley",Chardonnay,"Love vintage Champagne, but not the price tag? Then you need to try Bouvet’s Saphir vintage crémant. Crémant is the savvy drinker’s first choice alternative to Champagne. It’s made using the same ‘traditional method’, the lengthy and expensive method that makes Champagne so pricey. Crémant de Loire is usually just Chenin Blanc. But this Saphir vintage includes a portion of Chardonnay which gives it more of that biscuity, briochey character. This makes it a must-try alternative to Champagne. They even age it for eighteen months which dials up those savoury, bready flavours. Peachy, honeyed and nutty, this is really classy fizz – and an absolute steal for the quality. Delicious with white fish in a buttery sauce."
158,"Definition Sancerre Blanc 2019, Loire Valley",Sauvignon Blanc,"To capture the definitive elements of Sancerre, we went to the best-selling name in the region. As you'd expect from 25-year-old vines in Jurassic limestone soils, the Definition Sancerre is dry and complex with flavours of citrus, green apple and white flowers and a smooth minerality."
159,Domaine Bernard Michaut 'Beauroy' Chablis Premier Cru 2019,Chardonnay,"Beauroy is a Premier Cru that lies on the upper slopes of Chablis. This is a prime area for growing exceptional Chardonnay, which benefits from warming sunlight and exceptional soil quality. And it tastes even better when it's aged in oak. Expect golden hints of almond, vanilla and a long finish. If you can wait, this will taste even more complex in a decade. If you can't, drink a glass with moules frites."
160,"Montagny 1er Cru 'Vignes Derrières' 2019 Domaine Pierres Sauvages, Burgundy",Chardonnay,"Domaine Pierres Sauvages is a tiny, 3-hectare, family owned vineyard, and this is boutique white Burgundy at its best. Aged in oak for up to 8 months, this is refined, creamy and smooth Chardonnay with flavours of peach, apple, citrus and sweet spice. Pair it with poultry, cheese or seafood."
161,Bourgogne Côte dOr Chardonnay 2018 Edouard Delaunay,Chardonnay,"This is made by Edouard Delaunay, a Burgundy estate that was the choice of The Orient Express in the 19th century and restored to its former glory in 2017. It's made from grapes mainly from grapes from Auxey-Duresses and Meursault. Expect fresh aromas of peach and lemon and a subtle hint of hazelnut, thanks to some oak ageing and lees influence."
162,"Edouard Delaunay 'Septembre' Pinot Noir 2018, Burgundy",Pinot Noir,"One half of the Abbotts & Delaunay powerhouse, Laurent Delaunay, has returned to Burgundy to make modern-day wines and resurrect his family estate. The Septembre Pinot Noir boasts all the elegance and subtlety that you'd expect from the best expressions of Pinot Noir alongside a balance and freshness of fruit. Its hints of red and black cherry are chased by a full, fresh finish."
163,"Talbott 'Kali Hart' Pinot Noir 2017, Monterey",Pinot Noir,"Talbott Vineyards put the prestigious Santa Lucia Highlands on the wine world map with its excellent cool-climate wines. This Pinot Noir is complex, bright and has notes of cherry, cola and vanilla that are lined by a balancing minerality Wine Advocate's Erin Brooks gave it 92 Parker Points."
164,"Viré-Clessé 'Haute Cuvée' 2019 Rijckaert F. Rouve, Burgundy",Chardonnay,"Florent Rouve studied under Jean Rijckaert, one of Burgundy's star winemakers, for years. He now manages Rijckaert's entire estate. To make 'Haute Cuvée', he picks grapes by hand, only the very finest make the cut, and he presses them slowly. He then ages the wine for up to 15 months in small oak barrels with minimal intervention. The result is a crisp, fresh Chardonnay with notes of citrus fruit and vanilla balanced by a delicate minerality."
165,"Tabalí Maray Sauvignon Blanc 2019, Valle Del Limarí",Sauvignon Blanc,Pioneering Chilean producer Tabalí crafts this Sauvignon Blanc in the Limarí Valley which sits at one of Chile's most northerly points. The region's cool climate and sea breezes offer grapes a long growing season that results into this fruit-forward white with fresh citrus notes and crisp acidity.
166,"Château la Garde 2012, Pessac Léognan",Cabernet Sauvignon,"Château la Garde sits on one of Pessac Léognan's finest spots, and its wine is structured, concentrated and ages beautifully. This blend of Cabernet Sauvignon and Merlot is aged in oak for up to 14 months. Its aromas of ripe fruit, liquorice and smoke complement its rich, silky palate. Robert Parker called this 2012 vintage ""a very good offering""."
167,"Firepeak Chardonnay 2018, Edna Valley",Chardonnay,"Just 5.4 miles from the Pacific Ocean, Edna Valley is one of the coolest growing regions in California. So it's full of complex, bright Chardonnay like the Firepeak. Barrel fermented and aged on its character-building lees for nine months, it's smooth and balanced, with notes of pear, lemon, pineapple and vanilla."
168,Casillero Del Diablo Chardonnay 2019,Chardonnay,"The Casillero del Diablo Chardonnay comes from vineyards located just a few kilometers from the Pacific Ocean. Sea breezes moderate the temperatures in the vineyard and result in remarkably fresh wines. With floral scents and notes of pineapple, citrus and peach this is a wonderful pairing with poultry."
169,"Château Tour du Haut-Moulin 2013, Haut Médoc",Cabernet Sauvignon,"Tour du Haut Moulin is situated in Cussac Fort, between Margaux and St-Julien, in the heart of Haut-Médoc. It has been owned by the Poitou family since 1870 and is now in the 6th generation of family ownership. It has 10 hectares of 25-year-old vines, and this is a blend of Cabernet Sauvignon, Merlot and Petit Verdot. With mellow bramble fruit, notes of cedar spice and firm tannins, it's a benchmark Left Bank red."
