,name,grape_variety,description
12,"Rocklin Ranch Pinot Noir 2017/18, Monterey",Pinot Noir,"This Pinot Noir was crafted at the foot of Monterey’s volcanic mountain range. Here, the Scheid family’s winery is powered with a single wind turbine. They pay strict attention to detail, as only 2% of grapes picked are judged as good enough to make this Pinot Noir. So you're in for something great. This lush wine shows notes of raspberry and cherry with a hint of toasted oak. Serve with roasted pork loin."
13,Greywacke Pinot Noir 2015 Marlborough,Pinot Noir,"A virtual compote loaded with black plums, boysenberries and redcurrants lightly infused with cinnamon and cloves. An intensely perfumed Marlborough Pinot with fruit sweetness, floral highlights and a distinct smoky fragrance. The full-flavoured palate has dark fruit richness with great length and freshness - finishing with a hint of Middle Eastern spice."
14,"Château Musar 2001, Gaston Hochar, Lebanon",Cabernet Sauvignon,"Lebanese winemaking spans over 6,000 years. Château Musar is the country's best known winery for good reason. This is rich, vibrant and brimming with delicious spices. You'll have a tough time finding anything that comes close elsewhere."
15,Cave de Viré Viré-Clessé 2019,Chardonnay,"Viré-Clessé is so highly regarded that, in 1998, it was awarded its own appellation status in the renowned Mâconnais region. Cave de Viré’s expertise here has been recognised worldwide. Thanks to this area's limestone soils and flintiness, this is a mineral, elegant Chardonnay. Expect charming notes of tropical fruit, peach and honeysuckle. Perfect with roast chicken."
16,"Duckhorn Vineyards Chardonnay 2018, Napa Valley",Chardonnay,"Duckhorn Vineyards was one of the first forty wineries established in Napa Valley. The area has a stellar reputation for a reason – its vineyards are the first place to look for grapes of outstanding quality. Napa is inland and has higher temperatures than neighbouring coastal regions. These conditions make Chardonnay particularly rich and fruity. Think white peaches, blossom and creamy lemon flavours. This is a complex, textured white with. the subtle sweetness of French oak. It’s a sumptuous wine that will elevate a simple roast chicken to something really special."
17,Pol Roger 'Sir Winston Churchill' Champagne,Chardonnay,"The clue's in the name. Pol Roger created this in tribute to Winston Churchill in the style of the 1928 vintage, one of his personal favourites. It's made exclusively from Grand Cru Chardonnay and Pinot Noir vineyards that were under vine in his lifetime. This is robust, full-bodied and rich, with a capacity to age for decades. It's so delicious, the family behind it keep the recipe top-secret. A fitting tribute to one of Britain's most prominent figures. Drink with oysters."
18,Ch St Michelle Cabernet Sauvignon 2016,Cabernet Sauvignon,This Cabernet from Washington's oldest winery is packed with ripe blackcurrant and blackberry flavours. Notes of cedar and vanilla follow on to the silky smooth finish that lingers on the palate with the blackcurrant and plum. The most perfect suitor: Prosciutto wrapped stuffed dates with blue cheese. A must.
19,"Yalumba 'The Signature' Cabernet Sauvignon-Shiraz 2015, Barossa",Cabernet Sauvignon,"You may have tried Yalumba's entry-level work before. This is its Saturday-night wine. Almost equal parts Cabernet Sauvignon and Shiraz, it?s a rich, full-bodied cocktail of mocha, plum, cherry and black pepper that boasts plenty of complexity. Wine Enthusiast gave it 93 points, calling it ""Classic Barossa""."
20,"Vavasour 'Papa' Sauvignon Blanc 2018, Marlborough",Sauvignon Blanc,"Awatere Valley’s stony soils nourish grapes that develop distinct elegance, perfume and texture over a lengthy ripening period. But this cool-climate’s brilliance was unknown until it was discovered by Vavasour. They've picked every grape behind this from one carefully selected spot to make a truly unique, precise expression of the land. Expect a mineral-lined palate of citrus, fresh herbs, blackcurrant leaf and white peach. It’ll partner beautifully with soft, creamy cheeses."
21,Gabb Family Cabernet Sauvignon,Cabernet Sauvignon,"A core of rich blackcurrants and black plums, with a savoury overlay of meat extract, white pepper and mixed spice. The velvety texture is the result of maturation - the wine is at the perfect drinking age and has fine textured tannins."
22,"Louis Pommery English Brut, Hampshire",Chardonnay,"After a space race between all of Champagne's biggest names to get here first, Pommery is the first house to launch English fizz. Teaming up with Hampshire-based Hattingley Valley, owned by the chairman of Wines of Great Britain, it's applied the same traditional method that it uses back home to craft a crisp, arrow-precise bouquet of waxy lemon, Granny Smith, freshly baked bread and honeycomb."
23,Laurent-Perrier Rosé NV Champagne,Pinot Noir,"Unusually made by the saignée method, with plenty of stylish strawberry fruit, full of vivacity and easy-drinking charm. A wonderfully refreshing apéritif, it also works well with a variety of dishes."
24,Laurent-Perrier Rosé NV Champagne Magnum,Pinot Noir,"This is a classic pink fizz made with a method rarely applied in Champagne. The result's plenty of stylish strawberry fruit, vivacity and easy-drinking charm. It's a wonderfully refreshing apéritif. But its elegant structure means that it also works well with a variety of dishes, particularly shellfish."
25,Bollinger Champagne Magnum,Chardonnay,"At the Bollinger Champagne house, only the finest will do. Their Champagne is made from first-run juice, and the majority of vineyards have Premier and Grand Cru status. This results in a full-bodied Champagne of great class. It's pale-gold in colour and the mousse is light and persistent. The ideal accompaniment to smoked salmon canapes."
26,Lanson 'Black Label' Champagne,Chardonnay,"With over 260 years of winemaking history, Lanson is one of the oldest Champagne houses. Their Black Label was famously given as a tribute to the Royal Court of England in 1937. They've been supplying it with world-class wine ever since. The Lanson Black Label has a fine stream of persistent bubbles and a beautiful straw colour. The nose is vibrant with hints of toast and flowers leading to a palate of citrus and ripe fruit. The perfect Champage to elevate the flavours of fish and chips."
